run_id	score_rank	combo_key	plan	weight	engine	budget	sequence	grouping	status	score	metric	split	trt	panel_key	series_key	point_key	x_observed	y_simulated	residual	abs_residual	relative_error	panel_count	panel_nrmse	panel_bias
B1_Wheat_0_d27909	1	B1	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	laix	train	13	laix|train	B1	B1_Wheat_0_d27909|laix|t13	3.23	3.1	-0.1299999999999999	0.1299999999999999	0.040247677893970005	5	0.3934980598043878	0.26954921679140187
B1_Wheat_0_d27909	1	B1	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	laix	train	14	laix|train	B1	B1_Wheat_0_d27909|laix|t14	3.23	3.1	-0.1299999999999999	0.1299999999999999	0.040247677893970005	5	0.3934980598043878	0.26954921679140187
B1_Wheat_0_d27909	1	B1	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	cwam	valid	1	cwam|valid	B1	B1_Wheat_0_d27909|cwam|t1	3781.0	4240.0	459.0	459.0	0.12139645596370961	1	0.12139645596370961	0.12139645596370961
B1_Wheat_0_d27909	1	B1	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	cwam	train	2	cwam|train	B1	B1_Wheat_0_d27909|cwam|t2	3957.0	5102.0	1145.0	1145.0	0.2893606267366961	5	0.14730558878800865	0.14141231246748395
B1_Wheat_0_d27909	1	B1	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	cwam	train	8	cwam|train	B1	B1_Wheat_0_d27909|cwam|t8	6121.0	7622.0	1501.0	1501.0	0.24522136905694294	5	0.14730558878800865	0.14141231246748395
B1_Wheat_0_d27909	1	B1	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	cwam	train	9	cwam|train	B1	B1_Wheat_0_d27909|cwam|t9	8494.0	9020.0	526.0	526.0	0.061926065457897424	5	0.14730558878800865	0.14141231246748395
B1_Wheat_0_d27909	1	B1	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	cwam	train	13	cwam|train	B1	B1_Wheat_0_d27909|cwam|t13	9946.0	11016.0	1070.0	1070.0	0.1075809370600165	5	0.14730558878800865	0.14141231246748395
B1_Wheat_0_d27909	1	B1	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	cwam	train	14	cwam|train	B1	B1_Wheat_0_d27909|cwam|t14	10142.0	11367.0	1225.0	1225.0	0.12078485505805482	5	0.14730558878800865	0.14141231246748395
B1_Wheat_0_d27909	1	B1	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	hwam	valid	1	hwam|valid	B1	B1_Wheat_0_d27909|hwam|t1	1617.0	1583.0	-34.0	34.0	0.02102659245503385	1	0.02102659245503385	-0.02102659245503385
B1_Wheat_0_d27909	1	B1	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	hwam	train	2	hwam|train	B1	B1_Wheat_0_d27909|hwam|t2	1578.0	2223.0	645.0	645.0	0.4087452471456987	5	0.1827356895029821	0.011013454861081236
B1_Wheat_0_d27909	1	B1	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	hwam	train	8	hwam|train	B1	B1_Wheat_0_d27909|hwam|t8	2754.0	2210.0	-544.0	544.0	0.19753086419681362	5	0.1827356895029821	0.011013454861081236
B1_Wheat_0_d27909	1	B1	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	hwam	train	9	hwam|train	B1	B1_Wheat_0_d27909|hwam|t9	3792.0	2858.0	-934.0	934.0	0.24630801687698758	5	0.1827356895029821	0.011013454861081236
B1_Wheat_0_d27909	1	B1	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	hwam	train	13	hwam|train	B1	B1_Wheat_0_d27909|hwam|t13	5425.0	5671.0	246.0	246.0	0.04534562211973208	5	0.1827356895029821	0.011013454861081236
B1_Wheat_0_d27909	1	B1	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	hwam	train	14	hwam|train	B1	B1_Wheat_0_d27909|hwam|t14	4883.0	5673.0	790.0	790.0	0.16178578742543154	5	0.1827356895029821	0.011013454861081236
B1_Wheat_0_d27909	1	B1	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	hwum	valid	1	hwum|valid	B1	B1_Wheat_0_d27909|hwum|t1	19.8	0.037	-19.763	19.763	0.9981313126272064	1	0.9981313126272064	-0.9981313126272064
B1_Wheat_0_d27909	1	B1	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	hwum	train	2	hwum|train	B1	B1_Wheat_0_d27909|hwum|t2	19.5	0.047	-19.453	19.453	0.9975897430781591	5	1.0033561874987271	-0.9981072022620989
B1_Wheat_0_d27909	1	B1	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	hwum	train	8	hwum|train	B1	B1_Wheat_0_d27909|hwum|t8	26.4	0.03	-26.369999999999997	26.369999999999997	0.9988636359852788	5	1.0033561874987271	-0.9981072022620989
B1_Wheat_0_d27909	1	B1	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	hwum	train	9	hwum|train	B1	B1_Wheat_0_d27909|hwum|t9	25.9	0.033	-25.866999999999997	25.866999999999997	0.9987258683402602	5	1.0033561874987271	-0.9981072022620989
B1_Wheat_0_d27909	1	B1	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	hwum	train	13	hwum|train	B1	B1_Wheat_0_d27909|hwum|t13	24.1	0.058	-24.042	24.042	0.9975933605819114	5	1.0033561874987271	-0.9981072022620989
B1_Wheat_0_d27909	1	B1	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	hwum	train	14	hwum|train	B1	B1_Wheat_0_d27909|hwum|t14	23.5	0.058	-23.442	23.442	0.9975319144691354	5	1.0033561874987271	-0.9981072022620989
